Key,en,es,fr,pt-BR
New game,New game,Nuevo juego,Nouvelle partie,Novo jogo
Continue,Continue,Continuar,Continuer,Continuar
Freeplay,Freeplay,Niveles,Jeu libre,Jogo livre
Credits,Credits,Créditos,Crédits,Créditos
Settings,Settings,Ajustes,Paramètres,Configurações
Exit game,Exit game,Cerrar juego,Quitter le jeu,Sair do jogo
This will erase your current progress. Are you sure?,This will erase your current progress. Are you sure?,Tu progreso actual será borrado. ¿Estás seguro?,Vos progrès actuels seront effacés. Êtes-vous sûr?,Seu progresso atual será apagado. Você tem certeza?
Yes,Yes,Sí,Oui,Sim
No,No,No,Non,Não
Tutorial,Tutorial,Tutorial,Tutoriel,Tutorial
Inferno,Inferno,Infierno,Enfer,Inferno
Earth,Earth,Tierra,Terre,Terra
Mountains,Mountains,Montañas,Montagnes,Montanhas
Boss,Boss,Jefe,Boss,Chefe
Language,Language,Lenguaje,Langue,Idioma
Music,Music,Música,Musique,Música
SFX,SFX,Efectos,Effets,Efeitos
English,English,Español,Française,Português
Continue,Continue,Continuar,Continuer,Continuar
Return to menu,Return to menu,Volver a menú,Retourner au menu,Voltar ao menu
End,End,Final,Final,Final
Hold,Hold,Mantener,Maintenir,Segurar
Thanks for playing!,Thanks for playing!,¡Gracias por jugar!,Merci d'avoir joué !,Obrigado por jogar!
Resume,Resume,Resumir,Reprendre,Retomar
Fullscreen,Fullscreen,Pantalla completa,Plein écran,Tela cheia
Skip,Skip,Saltar,Passer,Pular
Loading,Loading,Cargando,Chargement,Carregando
Where Is My Wife?,Where Is My Wife?,¿On ta mi vieja?,Où qu’elle est ma meuf ?,Cadê minha mulher?
I can get over this if i use,I can get over this if i use,Puedo saltar esto si uso,Je peux passer ça si j’utilise,Eu consigo passar isso se eu usar
I can go higher if I just hold,I can go higher if I just hold,Puedo llegar más alto si mantengo,Je peux aller plus haut si je maintiens,Eu consigo ir mais alto se eu segurar
I can double jump there with,I can double jump there with,Puedo hacer doble salto ahí con,Je peux faire un double saut là-bas avec,Eu consigo dar um duplo salto ali com
"In the air, I can try dashing using","In the air, I can try dashing using","En el aire, puedo hacer dash con","En l'air, je peux essayer de faire un dash avec","No ar, eu posso tentar dar um dash com"
